_id,School Name,Enrolled population,DTP coverage rate (%),DTP Religious exemption rate (%),MMR coverage rate (%),MMR Religious exemption rate (%),Lat,Lng
1,A Y JACKSON SECONDARY SCHOOL,1070,91,1,95.7,1,43.8052613,-79.36655529
2,ACADEMIE ALEXANDRE-DUMAS,110,88.2,1.8,90,1.8,43.76241881,-79.17976522
3,ADAM BECK JUNIOR PUBLIC SCHOOL,247,91.9,3.6,94.3,3.6,43.6831518,-79.28848789
4,AFRICENTRIC ALTERNATIVE SCHOOL,66,71.2,19.7,72.7,19.7,43.74542436,-79.48826066
5,AGINCOURT COLLEGIATE INSTITUTE,1253,90.7,1,97.8,1,43.78887384,-79.27890996
6,AGINCOURT JUNIOR PUBLIC SCHOOL,109,98.2,0,98.2,0,43.78840559,-79.28117156
7,AGNES MACPHAIL PUBLIC SCHOOL,180,95.6,0,97.8,0,43.81926898,-79.27855339
8,ALBERT CAMPBELL COLLEGIATE INSTITUTE,1154,89.2,0.3,95,0.3,43.80901422,-79.27340657
9,ALBION HEIGHTS JUNIOR MIDDLE SCHOOL,262,95.4,0.8,95.4,1.1,43.73138826,-79.5943155
10,ALEXANDER MUIR/GLADSTONE AVE JUNIOR AND SENIOR PUBLIC SCHOOL,280,90.4,1.8,93.6,1.8,43.64602125,-79.42884725
11,ALEXANDER STIRLING PUBLIC SCHOOL,229,84.7,0.9,91.3,0.9,43.81165633,-79.20760594
12,ALEXMUIR JUNIOR PUBLIC SCHOOL,179,91.6,0.6,95.5,0.6,43.80910932,-79.28561349
13,ALL SAINTS CATHOLIC SCHOOL,559,93.7,3.6,94.6,3.6,43.68561792,-79.52716293
14,ALLENBY JUNIOR PUBLIC SCHOOL,409,90.2,2.2,94.9,2.2,43.70943564,-79.41278773
15,ALPHA ALTERNATIVE JUNIOR SCHOOL,36,69.4,27.8,69.4,27.8,43.64572203,-79.39822258
16,ALPHA II ALTERNATIVE SCHOOL,19,57.9,21.1,68.4,21.1,43.65955743,-79.43628284
17,ALTERNATIVE SCARBOROUGH EDUCATION 1,70,87.1,1.4,97.1,0,43.76664525,-79.25479628
18,ALVIN CURLING PUBLIC SCHOOL,317,94.6,1.3,96.2,1.3,43.80849215,-79.1906336
19,AMESBURY MIDDLE SCHOOL,268,88.4,1.1,93.3,1.1,43.70869774,-79.49401438
20,ANCASTER PUBLIC SCHOOL,48,97.9,0,95.8,0,43.73286617,-79.46699263
21,ANNETTE STREET JUNIOR AND SENIOR PUBLIC SCHOOL,335,90.7,2.4,93.1,2.4,43.66142319,-79.47283128
22,ANNUNCIATION CATHOLIC SCHOOL,216,93.1,2.3,93.1,2.3,43.75335089,-79.32126782
23,ANSON PARK PUBLIC SCHOOL,131,92.4,0.8,92.4,0.8,43.72620958,-79.2412876
24,ANSON S TAYLOR JUNIOR PUBLIC SCHOOL,103,97.1,0,98.1,0,43.80429198,-79.26156134
25,ARBOR GLEN PUBLIC SCHOOL,138,97.8,1.4,97.1,1.4,43.80948639,-79.35570944
26,ARMOUR HEIGHTS PUBLIC SCHOOL,144,94.4,3.5,92.4,3.5,43.74091004,-79.41952228
27,AVONDALE ALTERNATIVE ELEMENTARY SCHOOL,80,90,6.3,92.5,6.3,43.76021084,-79.40015609
28,AVONDALE PUBLIC SCHOOL,195,91.3,1.5,91.8,1.5,43.77649346,-79.38518674
29,AVONDALE SECONDARY ALTERNATIVE SCHOOL,49,69.4,2,91.8,2,43.78630651,-79.41184315
30,BALA AVENUE COMMUNITY SCHOOL,108,93.5,0,96.3,0,43.68946222,-79.49901227
31,BALMY BEACH COMMUNITY SCHOOL,207,94.2,3.4,96.6,3.4,43.67643592,-79.28982694
32,BANNOCKBURN SCHOOL,43,79.1,2.3,90.7,2.3,43.734026,-79.421996
33,BANTING AND BEST PUBLIC SCHOOL,186,91.9,0,93,0,43.82666428,-79.28015052
34,BAYCREST PUBLIC SCHOOL,61,91.8,4.9,90.2,4.9,43.72660578,-79.44425151
35,BAYVIEW MIDDLE SCHOOL,453,90.3,0.4,90.3,0.4,43.77649346,-79.38518674
36,BEACHES ALTERNATIVE JUNIOR SCHOOL,34,82.4,17.6,82.4,17.6,43.68261997,-79.29912788
37,BEAUMONDE HEIGHTS JUNIOR MIDDLE SCHOOL,378,92.6,0.3,93.4,0.3,43.74295714,-79.57553054
38,BEDFORD PARK PUBLIC SCHOOL,474,91.4,2.3,93.9,2.3,43.7278547,-79.40002762
39,BELLMERE JUNIOR PUBLIC SCHOOL,193,89.1,1,88.1,1,43.77196929,-79.23514688
40,BEN HEPPNER VOCAL MUSIC ACADEMY,45,84.4,11.1,84.4,11.1,43.77515588,-79.21506873
41,BENDALE BUSINESS & TECHNICAL INSTITUTE,324,88.6,2.5,96.3,2.5,43.75533976,-79.26474309
42,BENDALE JUNIOR PUBLIC SCHOOL,188,94.7,0,93.1,0,43.76256712,-79.24488026
43,BENNINGTON HEIGHTS ELEMENTARY SCHOOL,105,98.1,1,98.1,1,43.69388246,-79.36955263
44,BERNER TRAIL JUNIOR PUBLIC SCHOOL,129,96.1,0,97.7,0,43.80156209,-79.22135257
45,BESSBOROUGH DRIVE ELEMENTARY AND MIDDLE SCHOOL,381,90.8,1.8,94.5,1.8,43.70721474,-79.3701352
46,BEVERLEY HEIGHTS MIDDLE SCHOOL,433,88.2,1.6,91.5,1.6,43.7330246,-79.50477172
47,BEVERLEY SCHOOL,55,87.3,3.6,89.1,3.6,43.65576524,-79.3957051
48,BEVERLY GLEN JUNIOR PUBLIC SCHOOL,235,96.6,1.3,97,1.3,43.7986531,-79.32306763
49,BIRCH CLIFF HEIGHTS PUBLIC SCHOOL,163,95.7,0.6,97.5,0.6,43.70174139,-79.25981662
50,BIRCH CLIFF PUBLIC SCHOOL,224,91.5,1.8,94.6,1.8,43.69198872,-79.26556862
51,BIRCHMOUNT PARK COLLEGIATE INSTITUTE,886,87.2,0.9,94.7,0.9,43.69775303,-79.25945453
52,BISHOP ALLEN ACADEMY CATHOLIC SECONDARY SCHOOL,1583,88.3,2.5,94.4,2.4,43.63442792,-79.50446469
53,BISHOP MARROCCO/THOMAS MERTON CATHOLIC SECONDARY SCHOOL,714,87.5,0.7,93.1,0.7,43.65585783,-79.45180771
54,BLACKSMITH PUBLIC SCHOOL,67,94,1.5,94,1.5,43.77116396,-79.52681069
55,BLAKE STREET JUNIOR PUBLIC SCHOOL,134,94.8,2.2,96.3,2.2,43.67180637,-79.33847625
56,BLANTYRE PUBLIC SCHOOL,157,91.7,3.2,93.6,3.2,43.68510008,-79.28386465
57,BLAYDON PUBLIC SCHOOL,73,98.6,1.4,95.9,1.4,43.73535722,-79.48625614
58,BLESSED ARCHBISHOP ROMERO CATHOLIC SECONDARY SCHOOL,698,89.1,0.3,95.1,0.3,43.68033288,-79.48079681
59,BLESSED CARDINAL NEWMAN CATHOLIC SCHOOL,996,88.7,1.1,96.4,1,43.71492227,-79.24006423
60,BLESSED MARGHERITA OF CITTA CASTELLO CATHOLIC SCHOOL,209,98.1,0.5,98.6,0.5,43.74367247,-79.50791404
61,BLESSED PIER GIORGIO FRASSATI CATHOLIC SCHOOL,189,97.9,1.1,96.8,1.1,43.8298752,-79.23273752
62,BLESSED POPE PAUL VI CATHOLIC SCHOOL,196,92.9,0,94.4,0,43.6740129,-79.45779303
63,BLESSED SACRAMENT CATHOLIC SCHOOL,343,92.1,2.9,92.7,2.9,43.72748161,-79.40399752
64,BLESSED TRINITY CATHOLIC SCHOOL,137,90.5,2.2,93.4,2.2,43.78689754,-79.3918262
65,BLISS CARMAN SENIOR PUBLIC SCHOOL,283,91.2,1.8,92.6,1.8,43.73264896,-79.22560188
66,BLOOR COLLEGIATE INSTITUTE,846,90.4,2.1,95.6,2.1,43.65955743,-79.43628284
67,BLOORDALE MIDDLE SCHOOL,370,88.4,2.4,93.2,2.4,43.63914565,-79.57194653
68,BLOORLEA MIDDLE SCHOOL,286,93.7,2.4,95.8,2.4,43.63752088,-79.55530155
69,BLYTHWOOD JUNIOR PUBLIC SCHOOL,223,95.1,2.7,94.6,2.2,43.7199315,-79.38950571
70,BOWMORE ROAD JUNIOR AND SENIOR PUBLIC SCHOOL,607,94.2,3.3,95.7,3.1,43.67606366,-79.31449172
71,BOYS' LEADERSHIP ACADEMY,47,93.6,0,93.6,0,43.7222273,-79.55211379
72,BRAEBURN JUNIOR SCHOOL,69,95.7,0,92.8,0,43.72802983,-79.54886381
73,BRIAN PUBLIC SCHOOL,155,91,2.6,89.7,2.6,43.78171952,-79.3318066
74,BRIARCREST JUNIOR SCHOOL,162,92,3.7,92.6,3.1,43.66646577,-79.58007528
75,BRIDLEWOOD JUNIOR PUBLIC SCHOOL,120,96.7,2.5,95,2.5,43.78079627,-79.31509539
76,BRIMWOOD BOULEVARD JUNIOR PUBLIC SCHOOL,186,91.4,0.5,96.2,0.5,43.81169988,-79.27408966
77,BROADACRES JUNIOR PUBLIC SCHOOL,202,92.6,3.5,92.6,3.5,43.64806672,-79.57202073
78,BROADLANDS PUBLIC SCHOOL,248,92.7,5.2,92.7,5.2,43.74590267,-79.3166278
79,BROCK PUBLIC SCHOOL,177,85.3,3.4,90.4,3.4,43.65304969,-79.43784413
80,BROOKHAVEN PUBLIC SCHOOL,152,88.2,1.3,94.1,1.3,43.7025063,-79.4956944
81,BROOKMILL BOULEVARD JUNIOR PUBLIC SCHOOL,120,94.2,0,95.8,0,43.80122038,-79.314868
82,BROOKSIDE PUBLIC SCHOOL,456,96.9,0.2,98,0.2,43.83057174,-79.23360752
83,BROOKVIEW MIDDLE SCHOOL,423,90.8,0.5,93.9,0.5,43.76745724,-79.51724666
84,BROWN JUNIOR PUBLIC SCHOOL,283,83.4,2.1,87.3,2.1,43.68491292,-79.40131227
85,BRUCE JUNIOR PUBLIC SCHOOL,107,94.4,1.9,93.5,1.9,43.66103582,-79.33333606
86,BUCHANAN PUBLIC SCHOOL,204,93.6,2.5,94.1,2.5,43.75152561,-79.29989207
87,BURROWS HALL JUNIOR PUBLIC SCHOOL,112,94.6,0.9,93.8,0.9,43.79269796,-79.22881801
88,C D FARQUHARSON JUNIOR PUBLIC SCHOOL,185,93,0,94.1,0,43.78446716,-79.26610554
