REF_DATE,GEO,DGUID,Labour force characteristics,North American Industry Classification System (NAICS),Sex,Age group,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2017,Canada,2016A000011124,Employment,Goods-producing sector,Both sexes,15 years and over,Persons,249,thousands,3,v2363383,1.2.2.1.1,3879.5,,,,1
2018,Canada,2016A000011124,Employment,Goods-producing sector,Both sexes,15 years and over,Persons,249,thousands,3,v2363383,1.2.2.1.1,3949.8,,,,1
2019,Canada,2016A000011124,Employment,Goods-producing sector,Both sexes,15 years and over,Persons,249,thousands,3,v2363383,1.2.2.1.1,3974.9,,,,1
2020,Canada,2016A000011124,Employment,Goods-producing sector,Both sexes,15 years and over,Persons,249,thousands,3,v2363383,1.2.2.1.1,3770.8,,,,1
2021,Canada,2016A000011124,Employment,Goods-producing sector,Both sexes,15 years and over,Persons,249,thousands,3,v2363383,1.2.2.1.1,3884.6,,,,1
2017,Canada,2016A000011124,Employment,"Agriculture [111-112, 1100, 1151-1152]",Both sexes,15 years and over,Persons,249,thousands,3,v2363384,1.2.3.1.1,286.6,,,,1
2018,Canada,2016A000011124,Employment,"Agriculture [111-112, 1100, 1151-1152]",Both sexes,15 years and over,Persons,249,thousands,3,v2363384,1.2.3.1.1,284.7,,,,1
2019,Canada,2016A000011124,Employment,"Agriculture [111-112, 1100, 1151-1152]",Both sexes,15 years and over,Persons,249,thousands,3,v2363384,1.2.3.1.1,292.3,,,,1
2020,Canada,2016A000011124,Employment,"Agriculture [111-112, 1100, 1151-1152]",Both sexes,15 years and over,Persons,249,thousands,3,v2363384,1.2.3.1.1,279.4,,,,1
2021,Canada,2016A000011124,Employment,"Agriculture [111-112, 1100, 1151-1152]",Both sexes,15 years and over,Persons,249,thousands,3,v2363384,1.2.3.1.1,251.8,,,,1
2017,Canada,2016A000011124,Employment,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",Both sexes,15 years and over,Persons,249,thousands,3,v2363385,1.2.4.1.1,325.2,,,,1
2018,Canada,2016A000011124,Employment,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",Both sexes,15 years and over,Persons,249,thousands,3,v2363385,1.2.4.1.1,340.6,,,,1
2019,Canada,2016A000011124,Employment,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",Both sexes,15 years and over,Persons,249,thousands,3,v2363385,1.2.4.1.1,332.8,,,,1
2020,Canada,2016A000011124,Employment,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",Both sexes,15 years and over,Persons,249,thousands,3,v2363385,1.2.4.1.1,306.7,,,,1
2021,Canada,2016A000011124,Employment,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",Both sexes,15 years and over,Persons,249,thousands,3,v2363385,1.2.4.1.1,324.5,,,,1
2017,Canada,2016A000011124,Employment,"Forestry and logging and support activities for forestry [113, 1153]",Both sexes,15 years and over,Persons,249,thousands,3,v2363386,1.2.5.1.1,49,,,,1
2018,Canada,2016A000011124,Employment,"Forestry and logging and support activities for forestry [113, 1153]",Both sexes,15 years and over,Persons,249,thousands,3,v2363386,1.2.5.1.1,53.1,,,,1
